,Year,Country,Type,Sex,Pdf
87,1906,USA,Unprovoked,M,1906.10.10.d.R-OldNative.pdf
88,1906,USA,Unprovoked,M,1906.10.10.c.R-skipper.pdf
89,1906,USA,Unprovoked,M,1906.10.10.b.R-Hawaii.pdf
90,1906,USA,Unprovoked,M,1906.10.10.a.R-Hawaii.pdf
91,1906,USA,Unprovoked,M,1906.08.04-McFlood.pdf
92,1906,USA,Unprovoked,M,1906.07.05.R-St.Stanislaus.pdf
93,1906,YEMEN ,Unprovoked,M,1906.08.20-boy.pdf
94,1907,AUSTRALIA,Unprovoked,M,1907.07.04-R-Atkins.pdf
95,1907,AUSTRALIA,Unprovoked,M,1907.12.21-Jones.pdf
96,1907,AUSTRALIA,Unprovoked,M,1907.10.18.R-male-Teazer.pdf
97,1907,AUSTRALIA,Unprovoked,M,1907.10.14-Nolan.pdf
98,1907,AUSTRALIA,Unprovoked,M,1907.02.03-Williams.pdf
99,1907,CHINA,Unprovoked,M,1907.10.16.R-HongKong.pdf
100,1907,CHINA,Unprovoked,M,1907.10.16.R-HongKong.pdf
